,职位名称,职位名称关键字,职位薪资,公司名称,地区,工作经验,学历要求,职位描述要求,Linux,Python,Java,C,Web,Sql,App,Mysql,Oracle
0,研发测试主管,测试,22500.0,上海拓牛智能科技有限公司,上海,5.0,本科,"岗位职责： 1. 负责智能硬件相关产品的硬件测试，包括功能、性能、稳定性、可靠性测试； 2. 负责新技术预研以及相应的测试用例开发工作； 3. 根据产品的系统设计规格书制定测试计划，根据测试标准、测试规范设计测试用例； 4. 负责相关测试环境的搭建，尤其是公司自动化测试平台搭建； 5. 根据测试用例、测试规范、测试标准等文档进行测试和验证； 6. 根据规范提BUG，撰写测试记录、测试报告，并对测试中反馈的问题进行分析跟踪； 7. 参与技术、测试评审，完成测试流转节点审核； 8. 完善测试用例库、测试经验和知识数据库的建设； 9. 负责制定产品生产测试检验标准； 10. 售前售后反馈问题验证。 任职要求： 1.  全日制本科以上（985/211优先），计算机、通信、电子相关专业。 2. 熟练掌握数、模电基础知识，能看懂原理图设计 ； 3. 熟练使用相关测试仪器，例如示波器，频谱仪，万用表等； 4. 熟悉产品开发与测试流程,具备一定的分析问题和定位问题的能力； 5. 熟悉工厂生产流程，熟悉产测流程； 6. 有智能家居产品测试经验者优先",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,测试工程师,测试,12500.0,上海文思海辉金信软件有限公司,深圳,3.0,本科,做银行证券项目1、精通软件测试流程，扎实的软件测试知识体系。？2、独立编写测试计划、测试用例、缺陷周期的管理和测试报告等相关文档。？3、使用XMind分析业务流程，提取测试点。？4、熟练掌握linux、Windows操作，能够独立部署Apache、Tomcat、Mysql等测试环境。？5、熟练使用Xshell、Putty、navicat、SSH、SQLyog等连接工具。？6、熟练掌握Mysql数据库操作，使用SQL语句进行数据查询。？7、熟练使用Postman、Jmeter、Fiddler，进行接口测试。？8、熟练使用LoadRunner进行性能测试。？9、熟练使用redmine缺陷管理工具、svn版本管理工具。？10、掌握Python语言，编写Python自动化脚本。？11、使用Appium，进行app功能自动化测试。？12、使用Selenium、Request模块进行Web的功能和接口的自动化测试。,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
2,测试工程师,测试,15000.0,广州细刻网络科技有限公司,广州,0.0,无,"主要职责：1. 负责公司移动端和Web端产品功能、兼容性、安全性、压力及自动化方面的测试工作；2. 参与需求及技术评审，制定测试计划，编写详细测试用例，组织及执行整个测试流程（模块、集成和回归测试）3. 参与项目QA, 对项目过程进行监督, 质量监控, 里程碑节点的质量审计；4. 跟踪分析、推动测试中遇到的问题，配合相关开发工程师找出解决方案，确保产品上线质量；5. 维护测试环境及测试数据，制定测试策略提高产品质量和测试效率。岗位要求：1.计算机或相关专业本科及以上学历，互联网公司服务端测试方向3年及以上经验2.有一定的编程能力（熟悉Java/Python/JavaScript/Shell等脚本编程中至少一种）；3.熟悉常用软件测试流程和测试用例设计方法，了解常见问题的处理方案；4.熟练使用常用测试工具，熟练操作数据库，了解互联网相关协议，熟悉常见互联网架构，熟练使用一种开发语言；5.有良好的逻辑分析能力和沟通能力，快速学习能力，有责任感主动性强，良好的团队合作精神，能适应一定压力的工作。公司为您提供完善的个人发展平台，成功加入细刻您将享受:1、上班时间：5天8小时制，1-9月份双休，10-12月份单双休轮休，旺季！你懂得！2、弹性工作制：（9：00-18：00 or 10：00-19：00）避开拥挤的上班人潮，完美错开早晚高峰。3、基本保障：五险一金、工作日餐补、带薪年假都是妥妥的，且年假***可达15天！4、晋升通道：90%以上管理岗都是内部选拔提升！5、培训体系：不清晰职业发展通道？担心发展有局限？细刻学院满足你！公司设立细刻学院，为员工的职业发展规划提供各种内训或外训。6、富有竞争力的薪酬体系：高于市场平均薪资的薪资水平，保障你为公司努力付出，就一定会有收获！7、生日福利：总有人记挂着你，并为你的生日精心准备！公司专门定做蛋糕、邀帅哥美女陪你一起happy。8、节假日福利：端午、中秋、圣诞……各种节假日，担心一个人度过无聊吗？公司暖心开party！并准备各种礼物福利，让你安心工作的同时，开心生活。9、设部门月度活动经费，用于部门伙伴聚餐、唱K、羽毛球等团建活动。这些还不够，每年不定期还会举行多次员工集体活动，让您在细刻工作期间，收获的不仅仅经验，更多的还有快乐~",0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3,软件测试工程师,测试,17500.0,红星美凯龙家居集团股份有限公司,上海,5.0,本科,"、根据产品需求确定测试方案，设计合理的测试用例，完成功能测试，系统测试，集成测试、性能测试等，保证产品的质量；3、参与自动化用例（测试）的编写，设计&参与产品的性能、安全测试，解决测试过程中的复杂技术问题；4、关注并收集用户反馈，负责反馈问题跟踪，了解行业动态，并保持和团队各模块各角色间实时的顺畅沟通；5、负责分析产品测试结果，形成产品测试报告。任职资格：1.计算机本科及以上相关专业2年以上工作经验；2..对Linux/Unix操作系统、NoSQL、Mysql等关系数据库都有比较深入的理解和实践经验；3.会用自动化测试工具，目前常用的是接口自动化，可用java/python写自动化脚本；4.有不错的工作抗压能力，富有激情，愿意挑战，责任心强，做事客观公正；5.有自动化，性能，安全测试经验；6.具有很强的行业背景，如大数据，CRM,ERP，人工智能等，并且有丰富的测试经验；7.具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力。职能类别：										软件测试																			测试工程师									关键字：接口测试性能测试功能测试系统测试集成测试",1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4,岩土测试检测工程师,测试,14166.67,杭州市地铁集团有限责任公司运营分公司,杭州,8.0,本科,社会招聘基本条件：1、遵纪守法，品行端正，热爱地铁事业；2、35周岁及以下；3、身心健康，无色盲色弱，身体条件符合招聘岗位要求；4、具有较强的责任心和团队合作精神，沟通协调能力较强。岗位要求：1、全日制本科以上学历；2、中级以上专业技术职称；3、作为专业技术负责人主持过所申请工程勘察类型乙级以上项目不少于2项。工作职责：1、协助申请公司勘察乙级资质；2、协助建立和完善公司勘察生产工作流程；3、协助处理及日常员工关系管理工作；4、协助协调组织项目生产工程。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,测试工程师,测试,10000.0,联咏电子科技（西安）有限公司,西安,2.0,本科,"岗位职责: 1. 负责数字电视，网络媒体多媒体系统测试执行. 2. 根据产品设计规格，编写测试计划、设计测试方案，编写测试用例. 3. 根据需求搭建和维护测试环境 4. 运用jira/Urtracker对软件开发项目中的Bug对bug进行分析、定位、反馈，协助开发人员进行验证  5. 完成测试报告的编写及对测试结果进行评审，以确保完成系统测试。  任职资格: 1. 计算机，电子工程及其他相关专业本科及以上学历,0-2年相关工作经验； 2. 掌握测试技术与理论，理解测试策略和方法 3. 具备发现和解决问题的能力，具备质量缺陷分析、判断能力 4. 具有TV测试相关工作经验者优先 5对视频,音频规格测试有经验者优先 6. 良好的语言表达和文档编写能力，团队合作能力",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,测试工程师,测试,12500.0,新弘扬控股集团,北京,0.0,无,年以上的软件测试经验。 用户界面测试经验> 2年·能够与利益相关者互动，提取明确的要求并针对他们进行测试。·能够分析需求并创建测试以验证它们·自动UI测试体验，例如 白色框架·SW开发经验，如C＃是首选·创建其他团队成员可能遵循的测试程序·良好的英语和中文沟通能力（文字和写作）和积极的态度,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,中级测试工程师,测试,9000.0,中电光谷联合控股有限公司,武汉,0.0,无,任职要求：1、计算机及相关专业本科学历；2、3~5年产品测试经验，有完成的产品全生命周期测试经验；3、熟悉主流测试标准与边界要求；4、精通各类测试工具，对产品质量能有效把控。,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,本地化测试工程师-2020届实习生,测试,2500.0,亿帆环球科技（济南）有限公司,济南,0.0,大专,岗位职责：  · 负责产品的本地化测试 · 编写测试用例 · 执行软件测试用例并定位问题 · 编写Bug并跟踪Bug · 编写测试报告 任职要求：  · 计算机及其相关专业本科以上学历 · 熟悉测试流程，具备测试用例编写能力 · 熟练使用一种或几种测试管理工具、缺陷管理工具 · 优秀的英文听说读写和中文沟通能力 · 有软件本地化经验者优先考虑 · 有自动化测试经验者优先考虑 · 高度责任心，细心认真；有良好的合作态度，团队精神；愿意承受较强的工作压力，勇于接受挑战,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,软件测试工程师,测试,12500.0,深圳市安智信息技术有限公司,深圳,3.0,大专,"精通精通功能测试、性能测试理论知识、熟悉测试流程，能快速分析需求、通过需求提取测试点、编写测试室例2.熟悉接口测试(包含http协议接口、webService接口、ESB接口、dubbo接口等).熟练使用接口测试工具UmeterSoapUlpostman、Loadrunner等接口测试工具3.了解Oracle数据库,熟悉SQL语句编写熟练处理多表关联的增、删、改、查；4.熟悉使用linux操作系统,熟练使用linux操作系统常用命令,测试过程中能熟练日志查看,通过日志分析问题分析;5.熟悉门开发语言如java.pythonC/C++等.能根据需要编写测试脚本;6.熟悉银行核心业务及对周边系统有比较深刻的了解，能快速学习掌握测试过程中需要的银行业务；7.具有良好的沟通能力及语言表达能力，工作积极主动，责任心强，吃苦耐劳，能在长期较大压力的环境中工作8.熟悉Tomcatwebsphere等中问件，能快速搭建、修复测试环境",1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
